manche,niveau,temps,source,col,row,accepte,etat,avance,distance,remplie
1,1,2.672,humain,12,6,1,attente,1,0,1
1,1,3.776,humain,11,6,1,attente,2,1,1
1,1,4.608,humain,11,5,1,attente,3,1,1
1,1,5.408,humain,11,4,1,attente,4,1,1
1,1,6.464,humain,11,3,1,attente,5,1,1
1,1,7.392,humain,12,3,1,attente,6,1,1
1,1,10.976,humain,11,1,1,attente,6,3,1
1,1,11.968,humain,13,3,1,attente,7,4,1
1,1,14.048,humain,11,2,1,attente,7,3,1
1,1,16.144,humain,10,2,1,attente,7,1,1
1,1,18.928,humain,10,4,1,attente,7,2,0
1,1,23.536,humain,12,2,1,flux,6,4,1
1,1,25.872,humain,12,1,1,flux,5,1,1
1,1,27.328,humain,13,2,1,flux,6,2,1
1,1,28.656,humain,12,1,1,flux,9,2,1
1,1,30.017,humain,10,3,1,flux,9,4,1
1,1,31.153,humain,9,3,1,flux,9,1,1
1,1,32.977,humain,9,4,1,flux,8,1,1
1,1,33.376,humain,9,4,1,flux,9,0,1
1,1,35.472,humain,8,4,1,flux,8,1,0
1,1,37.264,humain,10,4,1,flux,6,2,0
1,1,38.608,humain,9,5,1,flux,6,2,1
1,1,39.552,humain,10,5,1,flux,8,1,1
1,1,41.200,humain,12,5,1,flux,7,2,1
1,1,41.760,humain,12,5,1,flux,6,0,1
1,1,42.288,humain,12,5,1,flux,6,0,1
1,1,42.768,humain,12,5,1,flux,7,0,1
1,1,43.568,humain,12,5,1,flux,6,0,1
1,1,44.000,humain,12,5,1,flux,6,0,1
1,1,44.512,humain,12,5,1,flux,6,0,1
1,1,45.504,humain,13,5,1,flux,5,1,1
1,1,46.048,humain,13,5,1,flux,5,0,1
1,1,46.480,humain,13,5,1,flux,5,0,1
1,1,47.775,humain,14,5,1,flux,5,1,1
1,1,48.351,humain,14,5,1,flux,4,0,1
1,1,48.703,humain,14,5,1,flux,5,0,1
1,1,48.943,humain,14,5,1,flux,5,0,1
1,1,49.551,humain,14,5,1,flux,4,0,1
1,1,50.895,humain,14,6,1,flux,3,1,1
1,1,51.343,humain,14,6,1,flux,4,0,1
1,1,52.239,humain,14,7,1,flux,3,1,1
1,1,52.831,humain,14,7,1,flux,4,0,1
1,1,53.455,humain,14,7,1,flux,4,0,1
1,1,54.303,humain,14,8,1,flux,4,1,1
1,1,54.847,humain,14,8,1,flux,4,0,1
1,1,55.695,humain,14,9,1,flux,4,1,1
1,1,57.071,humain,14,10,1,flux,4,1,1
1,1,57.535,humain,14,10,1,flux,4,0,1
1,1,57.967,humain,14,10,1,flux,4,0,1
1,1,58.815,humain,14,11,1,flux,4,1,1
1,1,59.423,humain,14,11,1,flux,4,0,1
1,1,59.935,humain,14,11,1,flux,3,0,1
1,1,60.303,humain,14,11,1,flux,3,0,1
1,1,60.687,humain,14,11,1,flux,3,0,1
1,1,61.998,humain,13,11,1,flux,3,1,1
1,1,62.910,humain,12,11,1,flux,2,1,1
1,1,63.358,humain,12,11,1,flux,2,0,1
1,1,63.838,humain,12,11,1,flux,3,0,1
1,1,64.926,humain,12,12,1,flux,2,1,1
1,1,65.326,humain,12,12,1,flux,2,0,1
1,1,65.790,humain,12,12,1,flux,2,0,1
1,1,66.718,humain,12,13,1,flux,2,1,1
1,1,67.870,humain,12,13,1,flux,2,0,1
1,1,68.478,humain,12,14,1,flux,2,1,1
1,1,68.910,humain,12,14,1,flux,2,0,1
1,1,69.934,humain,11,14,1,flux,3,1,1
1,1,70.622,humain,11,14,1,flux,2,0,1
1,1,71.406,humain,10,14,1,flux,2,1,1
1,1,72.190,humain,10,14,1,flux,2,0,1
